"metabolite","apoe4","estimate","std_err","lower_ci","upper_ci"
"cyclic_amp",1,-0.172789882704104,0.351582235984025,-0.861891065232793,0.516311299824585
"deoxycholic_acid",0,0.300706267495059,0.19470362648925,-0.0809128404238723,0.68232537541399
"deoxycholic_acid",1,-0.182009956974475,0.369796527575594,-0.90681115102264,0.54279123707369
"d_gluconic_acid",0,0.228246255331281,0.210191822127545,-0.183729716038707,0.640222226701269
"d_gluconic_acid",1,0.0099302113657159,0.332247404331732,-0.641274701124478,0.66113512385591
"fumaric_acid",0,0.404875172076853,0.204426410949287,0.00419940661625112,0.805550937537455
"fumaric_acid",1,0.175060769939134,0.342999179348874,-0.497217621584659,0.847339161462928
"glucose",0,0.499530729250223,0.227117700527386,0.0543800362165462,0.944681422283899
"glucose",1,0.267629646913894,0.329902389800123,-0.378979037094347,0.914238330922135
"glyceric_acid",0,-0.0753575654843545,0.202851599441595,-0.47294670038988,0.322231569421171
"glyceric_acid",1,0.329588670873749,0.357154451789897,-0.37043405463445,1.02961139638195
"glycerol_3_phosphate",0,0.0714402215727116,0.19599048105511,-0.312701121295304,0.455581564440728
"glycerol_3_phosphate",1,0.320998583342151,0.356585010041375,-0.377908036338944,1.01990520302325
"glycochenodeoxycholic_acid",0,0.474054250502115,0.204045196912815,0.0741256645529978,0.873982836451233
"glycochenodeoxycholic_acid",1,0.511241194410589,0.363275892135106,-0.200779554174218,1.2232619429954
"glycocholic_acid",0,0.626111683954434,0.19938763220465,0.23531192483332,1.01691144307555
"glycocholic_acid",1,-0.00487100860116096,0.37260339412999,-0.735173661095942,0.72543164389362
"hippuric_acid",0,-0.112054700756688,0.206008747834933,-0.515831846513156,0.291722444999779
"hippuric_acid",1,-0.287149939198697,0.358114086948278,-0.989053549617322,0.414753671219928
"homogentisic_acid",0,0.17214334775371,0.202928376626153,-0.225596270433551,0.56988296594097
"homogentisic_acid",1,-0.122084343493219,0.32674604136754,-0.762506584573597,0.518337897587159
"hydroxyphenylpyruvic_acid",0,0.292496809675893,0.207855219422064,-0.114899420391351,0.699893039743138
"hydroxyphenylpyruvic_acid",1,0.513034113825879,0.344199399164108,-0.161596708535772,1.18766493618753
"hypoxanthine",0,-0.329107352600322,0.203084059055145,-0.727152108348406,0.0689374031477629
"hypoxanthine",1,-0.270233776238205,0.341679775531932,-0.939926136280791,0.399458583804381
"indole_3_carboxylic_acid",0,0.133787597962701,0.199513601426188,-0.257259060832626,0.524834256758029
"indole_3_carboxylic_acid",1,-0.285447719154515,0.339389707698343,-0.950651546243268,0.379756107934238
"indole_3_lactic_acid",0,-0.334634673528034,0.205010502200884,-0.736455257841767,0.0671859107856997
"indole_3_lactic_acid",1,0.0695554095812937,0.348834495952178,-0.614160202484976,0.753271021647564
"indole_3_propanoic_acid",0,-0.0494827523404343,0.211193726694212,-0.46342245666109,0.364456951980222
"indole_3_propanoic_acid",1,-0.12186985342577,0.324749899387003,-0.758379656224295,0.514639949372755
"indoxyl_sulfate",0,-0.824306132287185,0.225181604048892,-1.26566207622301,-0.382950188351357
"indoxyl_sulfate",1,-0.324562380393508,0.350430640110729,-1.01140643501054,0.362281674223521
"inosine",0,-0.0833013941402202,0.196142158357467,-0.467740024520856,0.301137236240416
"inosine",1,-0.204884685027717,0.341085678989012,-0.873412615846181,0.463643245790747
"keto_isocaproic_acid__kic_",0,0.534890691172204,0.216698315913089,0.11016199198255,0.959619390361859
"keto_isocaproic_acid__kic_",1,-0.254018163148939,0.361734446441257,-0.963017678173804,0.454981351875925
"kynurenic_acid",0,-0.0818889087175696,0.204293371134523,-0.482303916141235,0.318526098706096
"kynurenic_acid",1,-0.243984936650613,0.330745123249528,-0.892245378219688,0.404275504918461
"kynurenine",0,-0.133240592085936,0.202667518433777,-0.530468928216139,0.263987744044267
"kynurenine",1,-0.267304093510171,0.331258261940974,-0.916570286914481,0.381962099894138
