"lipid","estimate_aa","std_err_aa","estimate_ea","std_err_ea"
"X_pc322_1st",-0.103899102355383,0.39548966677424,-0.15957618899075,0.270195384740417
"X_pc322_pc140_182",0.000757120046890537,0.440799043067111,-0.0740273256053038,0.269391862001998
"X_pc332_2nd",0.0991904389878175,0.421465641749501,0.208991296663414,0.270373506833294
"X_pc332_3rd",-0.489301099931204,0.404302112476751,0.398088411698673,0.269107326780081
"X_pc332_pc150_182",-0.226768950432682,0.399291873801058,-0.162111193369591,0.269311147050339
"X_pc361_1st",0.422239054419223,0.414890798337426,-0.0548167211543923,0.276368501446638
"X_pc361_3rd",-0.247443201707506,0.403771594837193,-0.0681379375203595,0.279706299560448
"X_pc361_pc180_181",-0.231244678865932,0.39544845231094,0.0485340095978738,0.271022506595562
"X_pc374_1st",-0.363959034901446,0.404681126520593,-0.0899872927474413,0.280422463287411
"X_pc374_pc170_204",-0.439917986080576,0.418512749353205,0.0461190625425486,0.281970214623985
"X_pc384_1st",-0.0381493930952577,0.40545542443003,-0.112728775605169,0.275599175928242
"X_pc384_pc180_224",-0.198978647608323,0.420816140154814,-0.0562135219117105,0.270972165364456
"X_pe341_1st",0.459673682214384,0.438274904480307,-0.222959644384973,0.279422737432213
"X_pe341_pe160_181",0.499443776049076,0.441338331125778,-0.323641948134369,0.274868132749366
"X_ps364_ps160_204",0.330397537355115,0.418784108491722,-0.351715885778207,0.2760818899975
